object,count
poster,179
book,94
clothing,39
man,34
building,25
woman,23
person,21
girl,12
human body,10
billboard,10
car,8
boy,7
bookcase,6
mammal,6
house,6
flag,5
bus,5
shelf,5
plant,5
coconut,5
bottle,4
auto part,4
land vehicle,4
picture frame,3
drink,3
beer,3
boat,3
human face,3
bench,2
juice,2
television,2
truck,2
van,2
whiteboard,2
window,2
table,2
rabbit,1
backpack,1
cabinetry,1
stairs,1
eagle,1
suitcase,1
tank,1
teddy bear,1
toy,1
umbrella,1
wine,1
telephone,1
necklace,1
fedora,1
motorcycle,1
food,1
door,1
grapefruit,1
guitar,1
helicopter,1
countertop,1
human arm,1
convenience store,1
insect,1
jacket,1
box,1
lion,1
computer monitor,1
microphone,1
mobile phone,1
animal,1
