object,count
poster,67
man,27
building,21
car,17
book,15
clothing,15
billboard,12
person,12
bus,7
football,6
woman,5
scoreboard,5
shelf,5
bookcase,4
ball,4
watch,3
computer monitor,3
bottle,3
boy,2
balloon,2
window,2
office supplies,2
mammal,2
land vehicle,2
television,2
hat,2
girl,2
tin can,2
traffic sign,2
envelope,2
vehicle registration plate,2
drink,2
tableware,1
skyscraper,1
watercraft,1
sports uniform,1
truck,1
aircraft,1
plant,1
human body,1
helicopter,1
furniture,1
food,1
digital clock,1
convenience store,1
box,1
boat,1
beer,1
golf cart,1
