object,count
poster,153
bottle,112
snack,77
book,67
beer,57
tin can,52
drink,46
building,41
man,39
clothing,39
person,33
cooking spray,19
woman,17
convenience store,17
billboard,15
dairy,13
wine,13
car,13
food,11
plant,11
girl,9
bus,8
box,8
jeans,7
land vehicle,5
juice,5
bookcase,5
shelf,5
house,4
boy,4
truck,3
mammal,3
fast food,3
human body,3
coffee cup,3
dessert,3
mobile phone,3
furniture,3
television,2
plate,2
table,2
office supplies,2
window,2
picture frame,2
mug,2
adhesive tape,2
candy,2
baked goods,2
tent,1
coffeemaker,1
skyscraper,1
coffee,1
sports uniform,1
cat,1
tableware,1
teddy bear,1
cart,1
animal,1
houseplant,1
torch,1
cake,1
van,1
vase,1
vehicle,1
watch,1
backpack,1
ring binder,1
refrigerator,1
pumpkin,1
cosmetics,1
laptop,1
helmet,1
glove,1
medical equipment,1
fountain,1
motorcycle,1
food processor,1
musical instrument,1
musical keyboard,1
flower,1
organ,1
oyster,1
flashlight,1
piano,1
flag,1
doughnut,1
couch,1
jacket,1
