object,count
poster,52
snack,33
person,25
convenience store,24
clothing,16
man,15
box,14
book,13
building,13
refrigerator,8
car,8
billboard,8
plant,5
woman,5
computer monitor,4
food,3
drink,3
baked goods,3
bottle,3
table,3
fast food,3
desk,3
boy,3
toy,2
bus,2
beer,2
bookcase,2
laptop,2
land vehicle,2
vegetable,2
whiteboard,2
train,2
tin can,2
television,1
sports uniform,1
tool,1
truck,1
shelf,1
wine,1
ruler,1
tomato,1
scoreboard,1
spice rack,1
auto part,1
printer,1
dog,1
bench,1
cake,1
canoe,1
coffee table,1
dairy,1
diaper,1
door,1
mammal,1
fashion accessory,1
girl,1
backpack,1
house,1
juice,1
luggage and bags,1
hiking equipment,1
