object,count
poster,49
book,41
waste container,12
whiteboard,10
building,10
clothing,10
box,9
woman,6
girl,6
truck,5
convenience store,5
person,5
computer monitor,4
shelf,4
man,4
table,3
office building,3
land vehicle,3
drawer,3
house,3
bookcase,3
desk,3
laptop,2
plant,2
human arm,1
wine,1
window,1
bottle,1
camera,1
tableware,1
tablet computer,1
sunglasses,1
ring binder,1
sculpture,1
human body,1
flower,1
picture frame,1
flowerpot,1
owl,1
hand dryer,1
horse,1
kitchen appliance,1
human face,1
boat,1
