object,count
poster,190
building,165
bus,105
plant,68
person,53
man,50
clothing,49
billboard,49
book,40
traffic sign,36
car,31
house,30
woman,22
bottle,17
land vehicle,15
boy,11
bookcase,11
mobile phone,11
truck,11
scoreboard,10
drink,8
skyscraper,8
window,7
girl,7
auto part,6
parking meter,6
tower,6
furniture,6
table,5
horse,5
whiteboard,4
waste container,4
human body,4
boat,4
sports uniform,4
train,4
picture frame,4
drum,4
television,4
mammal,3
vehicle registration plate,3
watercraft,3
tablet computer,3
van,3
vehicle,3
convenience store,3
office building,3
porch,2
shelf,2
street light,2
fountain,2
mug,2
animal,2
flower,2
computer monitor,2
coffee cup,2
box,2
wine,2
suit,2
taxi,1
tent,1
tire,1
toy,1
wheel,1
airplane,1
ring binder,1
paper towel,1
balloon,1
bicycle,1
bronze sculpture,1
cake,1
cart,1
coffee table,1
coin,1
dog,1
elephant,1
fashion accessory,1
flag,1
food,1
guitar,1
helicopter,1
kitchen appliance,1
maple,1
motorcycle,1
lobster,1
