object,count
poster,64
clothing,38
man,31
book,24
woman,23
person,23
building,23
billboard,11
plant,8
car,7
girl,6
house,5
shelf,4
bookcase,4
human body,4
van,4
mammal,4
flag,3
snack,3
human arm,3
picture frame,3
boy,3
bus,3
drum,2
baked goods,2
window,2
boat,2
mug,2
land vehicle,2
butterfly,2
christmas tree,2
tower,2
suit,2
coffee cup,2
vehicle,2
table,2
tent,2
fountain,2
pillow,1
swimwear,1
sculpture,1
umbrella,1
vehicle registration plate,1
trousers,1
stairs,1
airplane,1
office building,1
maple,1
balloon,1
bottle,1
coin,1
computer monitor,1
door,1
dress,1
flower,1
furniture,1
handgun,1
houseplant,1
human face,1
human head,1
ipod,1
jacket,1
limousine,1
human hair,1
