object,count
poster,291
book,147
man,87
clothing,65
woman,59
building,43
person,35
mobile phone,32
billboard,27
whiteboard,22
plant,18
girl,17
human body,14
car,13
picture frame,9
table,8
mammal,8
house,8
suit,7
television,7
bookcase,6
human arm,6
motorcycle,5
computer monitor,5
human face,5
bottle,4
van,4
bus,4
box,4
human head,4
window,4
convenience store,4
sculpture,3
drink,3
beer,3
chair,3
office building,3
mug,3
land vehicle,3
scoreboard,2
boat,2
auto part,2
shelf,2
boy,2
laptop,2
coffee cup,2
human hair,2
skyscraper,2
traffic sign,2
wheelchair,2
watercraft,2
helmet,2
helicopter,2
tower,2
vehicle registration plate,2
food,2
axe,1
bench,1
waste container,1
tablet computer,1
vehicle,1
banana,1
stop sign,1
toy,1
tank,1
taxi,1
tool,1
tin can,1
teddy bear,1
tent,1
tableware,1
parking meter,1
scarf,1
footwear,1
crocodile,1
cupboard,1
dinosaur,1
drum,1
elephant,1
envelope,1
fashion accessory,1
flower,1
flowerpot,1
cattle,1
bird,1
cat,1
houseplant,1
cart,1
cake,1
jacket,1
cabinetry,1
bull,1
panda,1
porch,1
aircraft,1
