object,count
bottle,24
poster,23
drink,19
woman,16
man,15
clothing,15
building,11
girl,11
book,10
shelf,5
car,5
person,5
beaker,4
bookcase,4
tableware,4
flower,4
rose,4
cosmetics,3
human body,3
spice rack,2
mobile phone,2
toy,2
human face,2
human arm,2
food,2
billboard,2
box,2
fashion accessory,2
bus,2
houseplant,1
convenience store,1
window,1
whiteboard,1
tower,1
boat,1
snack,1
seafood,1
cassette deck,1
corded phone,1
hat,1
necklace,1
mug,1
desk,1
mammal,1
luggage and bags,1
land vehicle,1
juice,1
human head,1
furniture,1
alarm clock,1
