object,count
poster,27
book,17
man,14
building,13
truck,12
plant,12
land vehicle,6
clothing,6
houseplant,5
woman,4
person,4
airplane,3
house,3
door,2
motorcycle,2
shelf,2
bookcase,2
rose,1
ring binder,1
snack,1
plastic bag,1
table,1
picture frame,1
van,1
vehicle,1
whiteboard,1
window,1
sculpture,1
aircraft,1
lily,1
computer keyboard,1
auto part,1
balloon,1
billboard,1
boat,1
bottle,1
bread,1
cart,1
computer monitor,1
laptop,1
desk,1
drink,1
fast food,1
flower,1
guitar,1
hat,1
human face,1
human body,1
