object,count
poster,181
building,54
man,48
plant,46
person,34
clothing,29
car,27
traffic sign,24
woman,22
billboard,22
door,19
book,19
mobile phone,17
bus,16
girl,14
land vehicle,14
convenience store,14
computer monitor,13
whiteboard,13
table,12
house,11
bottle,10
drink,8
auto part,8
vehicle,8
toy,7
laptop,7
picture frame,7
human body,6
tablet computer,6
shelf,6
window,6
sculpture,6
waste container,6
box,5
rose,5
van,5
furniture,4
dairy,4
truck,4
boat,4
flower,4
television,4
boy,4
plastic bag,3
bicycle,3
home appliance,3
tank,3
office supplies,3
tent,3
food,3
chair,3
camera,3
kitchen appliance,2
snack,2
mammal,2
palm tree,2
flowerpot,2
tin can,2
bicycle wheel,2
bird,2
wheel,2
coffeemaker,2
doll,2
fashion accessory,2
cat,2
golf ball,2
bed,2
human arm,2
wine,2
watercraft,1
wheelchair,1
ring binder,1
rifle,1
surfboard,1
washing machine,1
scoreboard,1
seafood,1
stop sign,1
shirt,1
toilet,1
shotgun,1
teddy bear,1
spice rack,1
sports uniform,1
reptile,1
airplane,1
porch,1
fruit,1
fish,1
fast food,1
dress,1
desk,1
countertop,1
coffee cup,1
christmas tree,1
cattle,1
cart,1
cabinetry,1
billiard table,1
bench,1
beer,1
beehive,1
ball,1
fountain,1
guitar,1
platter,1
helmet,1
perfume,1
parking meter,1
office building,1
mug,1
motorcycle,1
marine mammal,1
luggage and bags,1
kitchen utensil,1
jacuzzi,1
ipod,1
infant bed,1
human leg,1
human head,1
human hair,1
human face,1
jacket,1
