object,count
poster,144
book,48
building,39
man,33
clothing,22
car,20
person,20
billboard,12
bottle,12
woman,10
drink,8
mobile phone,8
convenience store,7
calculator,6
girl,6
shelf,4
television,4
truck,4
washing machine,4
furniture,4
plant,3
mammal,3
laptop,3
box,3
computer monitor,3
boy,2
human hand,2
snack,2
picture frame,2
bus,2
monkey,2
taxi,2
tin can,2
scoreboard,2
bicycle,2
bookcase,2
house,2
suitcase,1
wine,1
window,1
spice rack,1
sports uniform,1
whiteboard,1
wheel,1
suit,1
beer,1
vehicle registration plate,1
bicycle wheel,1
watch,1
tire,1
toy,1
waste container,1
van,1
weapon,1
desk,1
scissors,1
juice,1
flag,1
food,1
coin,1
golf cart,1
hat,1
human body,1
human face,1
human hair,1
human head,1
land vehicle,1
plastic bag,1
auto part,1
coffeemaker,1
cat,1
medical equipment,1
cart,1
office building,1
office supplies,1
pizza,1
fast food,1
airplane,1
