object,count
car,977
man,225
clothing,211
van,198
person,191
motorcycle,120
poster,79
toy,59
truck,58
building,58
land vehicle,54
boat,40
woman,27
auto part,25
helicopter,16
house,13
book,12
jacket,12
vehicle,11
horse,11
bus,10
human body,9
door,8
mammal,7
ambulance,7
skyscraper,6
bicycle,6
helmet,6
dog,5
vehicle registration plate,5
girl,5
billboard,5
taxi,5
wheel,4
traffic sign,4
television,4
segway,3
shelf,3
corded phone,3
plant,3
table,2
shirt,2
bicycle helmet,2
weapon,2
window,2
plastic bag,2
picture frame,2
box,2
cake,2
human arm,2
cowboy hat,1
window blind,1
dress,1
fashion accessory,1
flag,1
furniture,1
baked goods,1
glasses,1
hat,1
desk,1
tire,1
tower,1
office building,1
human face,1
human head,1
sun hat,1
convenience store,1
computer monitor,1
limousine,1
coat,1
bookcase,1
airplane,1
