object,count
poster,62
building,37
man,35
book,29
bottle,29
clothing,27
person,24
woman,23
wine,12
car,12
boat,10
bus,8
beer,8
drink,7
girl,7
table,6
truck,6
human body,6
house,6
mobile phone,5
airplane,5
vehicle,4
computer monitor,3
billboard,3
boy,3
office building,3
bookcase,3
auto part,3
traffic sign,3
train,3
tin can,3
shelf,3
bicycle,2
palm tree,2
watercraft,2
tablet computer,2
van,2
suit,2
street light,2
plant,2
juice,2
tool,2
envelope,2
human arm,2
chair,2
motorcycle,2
whiteboard,1
stool,1
sports uniform,1
training bench,1
syringe,1
tea,1
watch,1
television,1
tent,1
skyscraper,1
tower,1
taxi,1
bull,1
saucer,1
human face,1
cupboard,1
dairy,1
door,1
cocktail,1
fashion accessory,1
furniture,1
cheese,1
hat,1
helicopter,1
cattle,1
jacket,1
picture frame,1
kitchen appliance,1
knife,1
ladder,1
laptop,1
lighthouse,1
mammal,1
cart,1
camera,1
parking meter,1
convenience store,1
land vehicle,1
