object,count
building,123
poster,114
house,47
man,47
book,42
person,32
clothing,32
woman,30
whiteboard,14
car,11
snack,11
plant,9
truck,9
van,9
billboard,8
land vehicle,8
window,7
envelope,7
computer monitor,6
mobile phone,5
toy,5
girl,5
convenience store,5
human body,5
food,4
door,4
boy,4
furniture,4
computer keyboard,3
table,3
bottle,3
sports uniform,2
beer,2
desk,2
musical instrument,2
medical equipment,2
bus,2
tower,2
bookcase,2
bicycle,2
suit,2
human arm,2
cart,2
vegetable,2
scoreboard,2
sculpture,2
cat,2
drink,2
wheel,2
auto part,2
wine,2
box,2
television,1
dog,1
tablet computer,1
street light,1
coat,1
tent,1
tin can,1
boat,1
train,1
umbrella,1
vehicle,1
waste container,1
apple,1
bicycle wheel,1
reptile,1
skyscraper,1
human hand,1
flag,1
flower,1
drum,1
fox,1
handbag,1
helicopter,1
helmet,1
home appliance,1
ambulance,1
camel,1
shirt,1
laptop,1
lighthouse,1
dress,1
office building,1
picture frame,1
porch,1
fire hydrant,1
rose,1
shelf,1
airplane,1
