object,count
poster,115
book,43
person,29
building,26
man,20
clothing,18
bottle,17
woman,9
wine,8
cream,7
dairy,5
picture frame,5
drink,5
land vehicle,4
convenience store,4
personal care,4
perfume,4
car,4
tin can,4
billboard,4
girl,4
airplane,3
house,3
box,3
candle,3
plant,2
window,2
whiteboard,2
door,2
helmet,2
beer,2
toy,2
computer monitor,2
laptop,2
table,1
reptile,1
sculpture,1
shelf,1
boot,1
television,1
tent,1
plate,1
traffic sign,1
truck,1
watch,1
binoculars,1
platter,1
drum,1
plastic bag,1
houseplant,1
flag,1
flowerpot,1
fruit,1
guitar,1
harpsichord,1
home appliance,1
human face,1
bus,1
lamp,1
dinosaur,1
mammal,1
motorcycle,1
coin,1
elephant,1
camera,1
