object,count
poster,67
clothing,41
man,37
person,31
book,25
building,11
woman,10
billboard,7
television,7
table,4
computer monitor,4
furniture,3
vehicle,3
girl,3
suit,2
house,2
flag,2
convenience store,2
train,2
boy,2
tin can,1
teddy bear,1
traffic sign,1
shirt,1
sculpture,1
refrigerator,1
van,1
whiteboard,1
plant,1
picture frame,1
balloon,1
oyster,1
guitar,1
boat,1
bottle,1
box,1
car,1
coin,1
door,1
hat,1
office building,1
human body,1
jacket,1
land vehicle,1
beer,1
mammal,1
mobile phone,1
laptop,1
