object,count
poster,105
book,95
building,58
man,50
clothing,36
woman,27
person,22
boy,11
car,10
girl,9
billboard,7
toy,7
whiteboard,7
bottle,6
snack,6
table,6
drink,5
tin can,5
shelf,5
laptop,5
computer monitor,4
scoreboard,4
door,4
picture frame,4
convenience store,4
plant,4
truck,4
box,3
van,3
ring binder,3
bookcase,3
house,3
footwear,3
flower,3
airplane,3
dairy,3
chair,3
coffeemaker,2
lobster,2
land vehicle,2
jacket,2
beer,2
fashion accessory,2
mobile phone,2
human body,2
human arm,2
office building,2
office supplies,2
suit,2
window,2
bus,2
tablet computer,2
dessert,2
flowerpot,2
train,2
mammal,2
scarf,1
refrigerator,1
wine,1
tool,1
washing machine,1
sculpture,1
shirt,1
skyscraper,1
traffic sign,1
tower,1
sock,1
vehicle,1
tank,1
tent,1
wall clock,1
human hair,1
picnic basket,1
elephant,1
baked goods,1
ball,1
barrel,1
bee,1
bicycle,1
bowl,1
bread,1
candy,1
castle,1
cat,1
cooking spray,1
crab,1
desk,1
envelope,1
pastry,1
flag,1
food,1
fruit,1
guitar,1
helicopter,1
helmet,1
houseplant,1
animal,1
human hand,1
human head,1
insect,1
jacuzzi,1
mug,1
worm,1
