object,count
poster,47
person,17
building,16
book,10
mobile phone,8
convenience store,7
man,6
clothing,5
woman,4
computer monitor,4
car,4
television,3
bookcase,3
shelf,3
snack,3
whiteboard,2
washing machine,2
plant,2
box,2
toy,1
tool,1
office supplies,1
salad,1
wheel,1
window,1
palm tree,1
wheelchair,1
vehicle,1
bicycle,1
mammal,1
fashion accessory,1
camera,1
cosmetics,1
dairy,1
dessert,1
door,1
drink,1
fedora,1
laptop,1
furniture,1
girl,1
home appliance,1
house,1
human body,1
kitchen appliance,1
land vehicle,1
