object,count
bottle,45
wine,22
poster,20
man,11
building,11
drink,10
person,8
beer,8
plant,5
clothing,5
table,4
convenience store,3
tin can,3
woman,3
book,3
countertop,2
whiteboard,2
barrel,2
airplane,2
human body,2
house,2
girl,2
calculator,2
tablet computer,1
van,1
tower,1
traffic sign,1
watch,1
suitcase,1
suit,1
shirt,1
window,1
truck,1
aircraft,1
office building,1
kitchen appliance,1
insect,1
human nose,1
human leg,1
hat,1
golf ball,1
fashion accessory,1
face powder,1
door,1
dog,1
cabinetry,1
boy,1
billboard,1
ball,1
human hair,1
