object,count
poster,48
building,32
man,23
clothing,22
person,16
book,15
house,13
plant,9
human body,7
computer monitor,7
mammal,5
billboard,5
tin can,4
woman,4
whiteboard,4
car,4
drink,4
girl,4
stairs,3
snack,3
sculpture,3
door,3
bottle,3
window,3
boy,3
baked goods,2
bookcase,2
pillow,2
office supplies,2
bus,2
land vehicle,2
traffic sign,2
flower,2
toothbrush,2
van,2
truck,2
fountain,2
shelf,2
television,1
watch,1
tire,1
vehicle,1
sports uniform,1
skyscraper,1
tower,1
wine,1
wheel,1
animal,1
motorcycle,1
digital clock,1
boat,1
box,1
cart,1
cat,1
chopsticks,1
convenience store,1
dairy,1
flag,1
mobile phone,1
footwear,1
human face,1
human hair,1
human leg,1
ice cream,1
jeans,1
medical equipment,1
jacket,1
