object,count
poster,48
computer keyboard,37
book,23
remote control,16
office supplies,13
laptop,13
building,9
bottle,8
drink,6
television,5
man,4
woman,4
mobile phone,3
milk,3
bus,3
dairy,3
person,3
land vehicle,3
box,2
house,2
shelf,2
picture frame,2
calculator,2
plant,2
toy,2
clothing,2
vehicle,2
whiteboard,2
musical instrument,2
computer monitor,1
sculpture,1
tablet computer,1
bookcase,1
tin can,1
traffic sign,1
table,1
penguin,1
rose,1
medical equipment,1
billboard,1
clock,1
helmet,1
girl,1
furniture,1
envelope,1
doll,1
desk,1
bed,1
