object,count
bus,60
poster,55
man,34
clothing,18
person,17
building,16
car,15
bicycle,13
land vehicle,9
motorcycle,8
woman,6
traffic sign,5
mobile phone,5
book,4
human body,4
bicycle wheel,4
girl,4
snack,3
boy,3
truck,3
van,3
wheel,3
train,2
taxi,2
snowboard,2
window,2
billboard,2
box,2
boat,2
wine,2
sports uniform,2
beer,2
house,2
bottle,2
football helmet,2
computer monitor,2
drum,2
marine mammal,1
dog,1
christmas tree,1
bookcase,1
weapon,1
waste container,1
wall clock,1
vehicle registration plate,1
vehicle,1
convenience store,1
cosmetics,1
tower,1
toy,1
belt,1
television,1
filing cabinet,1
sports equipment,1
fish,1
ski,1
shelf,1
glove,1
helmet,1
horse,1
parking meter,1
pen,1
