object,count
poster,141
building,87
traffic sign,77
bus,64
man,62
billboard,42
book,38
clothing,37
house,36
person,29
car,28
plant,19
land vehicle,18
train,18
woman,18
truck,17
bottle,11
convenience store,10
auto part,9
human body,9
boy,8
mobile phone,7
bicycle,7
van,6
mammal,5
window,5
vehicle,5
snack,4
street light,4
television,4
bookcase,4
envelope,3
drink,3
suit,3
sports uniform,3
wine,3
shelf,3
milk,3
coat,3
motorcycle,3
tire,2
vehicle registration plate,2
wheel,2
tool,2
pen,2
human arm,2
computer monitor,2
box,2
baked goods,2
girl,2
cake,1
couch,1
dessert,1
weapon,1
door,1
dress,1
drum,1
elephant,1
beer,1
toy,1
guitar,1
human hand,1
parking meter,1
tablet computer,1
table,1
human head,1
human leg,1
jacket,1
skyscraper,1
seafood,1
salad,1
bicycle wheel,1
office building,1
picture frame,1
camera,1
