object,count
poster,45
book,22
person,16
building,13
clothing,12
scoreboard,11
man,11
billboard,10
plant,7
convenience store,7
woman,5
snack,4
tin can,3
cattle,2
mug,2
bottle,2
boat,2
suit,2
table,2
television,2
house,2
truck,2
computer monitor,2
wine,2
traffic sign,1
tablet computer,1
cannon,1
train,1
sports uniform,1
sock,1
vehicle,1
vehicle registration plate,1
seafood,1
scissors,1
boy,1
bus,1
pen,1
pencil case,1
coat,1
coffee cup,1
car,1
corded phone,1
dairy,1
desk,1
fast food,1
food,1
girl,1
horse,1
human body,1
human face,1
jacket,1
jeans,1
laptop,1
canoe,1
mirror,1
paddle,1
land vehicle,1
