object,count
poster,65
book,48
man,37
building,33
clothing,30
person,28
woman,19
bottle,14
house,9
billboard,7
plant,6
land vehicle,6
car,6
bus,5
wine,5
bookcase,5
truck,5
drink,5
convenience store,5
auto part,4
snack,4
laptop,4
whiteboard,4
boy,4
food,3
toy,3
mammal,3
girl,3
vehicle,3
door,3
van,3
computer monitor,3
picture frame,3
sports uniform,3
boat,3
suit,2
human face,2
skyscraper,2
table,2
human head,2
train,2
shelf,2
box,2
tank,2
window,2
beer,2
furniture,2
fish,2
traffic sign,2
human body,2
dog,2
camera,2
wheel,1
tableware,1
watercraft,1
sunglasses,1
tire,1
sushi,1
shirt,1
aircraft,1
seafood,1
refrigerator,1
baked goods,1
barrel,1
baseball bat,1
bicycle,1
bronze sculpture,1
carnivore,1
cosmetics,1
curtain,1
drinking straw,1
fast food,1
flower,1
houseplant,1
human arm,1
animal,1
jacket,1
juice,1
luggage and bags,1
mobile phone,1
plastic bag,1
human hair,1
