object,count
poster,88
book,87
building,23
man,11
billboard,10
bookcase,10
woman,7
clothing,7
person,7
shelf,6
plant,5
tablet computer,4
mobile phone,4
whiteboard,3
house,3
mammal,3
car,3
cosmetics,2
mug,2
vehicle,2
truck,2
train,2
television,2
suit,2
bottle,2
coffee cup,2
airplane,2
girl,2
land vehicle,1
desk,1
drink,1
van,1
footwear,1
tin can,1
jacket,1
tableware,1
boat,1
motorcycle,1
monkey,1
convenience store,1
rose,1
auto part,1
platter,1
plate,1
curtain,1
picture frame,1
coin,1
office building,1
skyscraper,1
