object,count
poster,306
book,105
building,90
man,71
clothing,67
woman,66
person,66
car,30
girl,26
convenience store,24
billboard,17
mobile phone,16
bookcase,16
plant,15
bottle,15
house,15
snack,13
whiteboard,13
shelf,13
land vehicle,13
boy,11
bus,11
human body,10
mammal,10
drink,10
dress,10
truck,10
window,10
camera,9
computer monitor,9
doll,8
picture frame,6
table,6
human face,5
toy,5
laptop,5
beer,5
television,5
jacket,5
flower,5
coin,4
suit,4
vehicle registration plate,4
office supplies,4
auto part,4
wine,4
tin can,4
baked goods,3
necklace,3
fashion accessory,3
vehicle,3
aircraft,3
wheel,3
rose,3
tent,3
shirt,3
watch,3
furniture,3
tank,3
cat,3
desk,3
human hand,2
traffic sign,2
microwave oven,2
office building,2
skyscraper,2
sock,2
tablet computer,2
taxi,2
tire,2
vegetable,2
sports uniform,2
accordion,2
human arm,2
food,2
airplane,2
animal,2
bicycle,2
box,2
cheese,2
computer keyboard,2
dessert,2
horse,2
door,2
fire hydrant,2
human hair,2
glove,2
helicopter,2
guitar,2
hand dryer,1
bust,1
cake,1
canoe,1
teapot,1
carrot,1
chicken,1
ice cream,1
clock,1
swimwear,1
swimming pool,1
coat,1
coffee cup,1
bronze sculpture,1
footwear,1
sports equipment,1
train,1
bicycle wheel,1
umbrella,1
van,1
human head,1
barrel,1
barge,1
banana,1
watermelon,1
weapon,1
balloon,1
alarm clock,1
horn,1
boat,1
snowmobile,1
coffee table,1
dumbbell,1
flag,1
moths and butterflies,1
motorcycle,1
mug,1
goose,1
fast food,1
envelope,1
oven,1
parachute,1
parking meter,1
pen,1
penguin,1
elephant,1
pillow,1
juice,1
duck,1
plastic bag,1
plate,1
platter,1
printer,1
dog,1
sandwich,1
saxophone,1
knife,1
scoreboard,1
kitchen & dining room table,1
dairy,1
corded phone,1
scale,1
