object,count
poster,24
mobile phone,23
computer monitor,21
remote control,9
building,8
car,7
television,7
land vehicle,6
book,6
bottle,6
person,6
watch,4
man,4
wine,4
camera,4
clothing,3
home appliance,3
whiteboard,3
tin can,3
box,3
auto part,3
table,2
furniture,2
drink,2
football,2
pressure cooker,2
mammal,2
computer keyboard,2
toilet paper,2
paper towel,2
tire,1
bicycle,1
tent,1
corded phone,1
food,1
telephone,1
washing machine,1
beer,1
watermelon,1
wheel,1
convenience store,1
van,1
scoreboard,1
tablet computer,1
sports uniform,1
slow cooker,1
billboard,1
dairy,1
boy,1
bus,1
laptop,1
banana,1
jacket,1
girl,1
frog,1
bookcase,1
