object,count
book,67
poster,53
building,18
clothing,17
man,9
woman,9
person,7
bookcase,6
house,5
girl,4
car,4
shelf,4
laptop,3
table,3
bottle,3
human body,3
whiteboard,3
television,2
plant,2
window,2
snack,2
mobile phone,2
suit,2
computer monitor,2
land vehicle,2
bus,2
traffic sign,1
wine,1
tableware,1
toy,1
telephone,1
sculpture,1
scoreboard,1
tower,1
airplane,1
ring binder,1
picture frame,1
office supplies,1
motorcycle,1
beer,1
human hand,1
human face,1
home appliance,1
fruit,1
drink,1
dress,1
corded phone,1
computer keyboard,1
cattle,1
bird,1
mammal,1
