object,count
poster,119
building,84
bottle,76
book,61
man,59
drink,46
clothing,45
beer,34
person,30
woman,24
billboard,24
tin can,22
snack,18
wine,14
car,12
land vehicle,12
girl,12
boy,11
scoreboard,10
truck,10
house,9
plant,8
mug,8
van,8
coffee cup,8
dairy,7
human body,6
mobile phone,5
box,5
convenience store,4
watch,4
bus,4
mammal,4
table,4
jeans,4
office building,4
furniture,3
shirt,3
sports uniform,3
window,3
wheel,3
clock,3
barrel,3
vehicle,3
laptop,3
computer monitor,2
tent,2
shelf,2
boat,2
towel,2
toy,2
train,2
wall clock,2
juice,2
auto part,2
jacket,2
curtain,2
human head,2
human hand,2
baked goods,2
hat,2
drum,1
taxi,1
coffee table,1
footwear,1
food,1
tower,1
flag,1
door,1
bench,1
coin,1
tablet computer,1
waffle,1
doll,1
computer keyboard,1
dagger,1
banana,1
tableware,1
guitar,1
grape,1
knife,1
cattle,1
human leg,1
cart,1
human face,1
cake,1
picture frame,1
human arm,1
porch,1
hot dog,1
ruler,1
boot,1
handbag,1
shotgun,1
skyscraper,1
bookcase,1
cannon,1
