object,count
poster,32
cream,17
building,15
person,12
book,8
clothing,7
woman,7
man,6
bottle,4
personal care,4
medical equipment,3
house,3
cosmetics,3
plant,3
laptop,3
shelf,2
convenience store,2
bookcase,2
mammal,2
drink,2
frog,2
human body,2
perfume,1
tool,1
wine,1
picture frame,1
television,1
orange,1
snowmobile,1
plastic bag,1
bicycle,1
musical keyboard,1
lighthouse,1
bicycle wheel,1
grapefruit,1
grape,1
girl,1
furniture,1
dress,1
computer monitor,1
car,1
camera,1
box,1
billboard,1
helmet,1
