object,count
poster,27
traffic sign,24
building,21
book,18
man,15
clothing,12
person,12
truck,7
van,6
woman,5
plant,5
mammal,5
bottle,4
bookcase,4
car,4
bus,3
computer monitor,3
slow cooker,3
shelf,3
house,3
suit,2
land vehicle,2
snack,2
rifle,2
television,2
picture frame,2
window,2
airplane,2
beer,2
boy,2
human body,2
jet ski,1
boat,1
tin can,1
tire,1
tower,1
toy,1
box,1
billboard,1
surfboard,1
vehicle,1
vehicle registration plate,1
watch,1
watercraft,1
whiteboard,1
table,1
sunglasses,1
insect,1
camera,1
computer keyboard,1
digital clock,1
drink,1
drum,1
footwear,1
plastic bag,1
furniture,1
girl,1
palm tree,1
office supplies,1
office building,1
barrel,1
human face,1
mobile phone,1
