object,count
poster,35
building,21
book,18
clothing,12
woman,11
person,9
drink,9
bottle,8
man,8
billboard,7
bookcase,4
truck,4
toy,4
girl,4
human body,3
car,3
vehicle registration plate,3
land vehicle,3
house,3
shelf,2
mobile phone,2
tent,2
carnivore,2
train,2
furniture,2
fashion accessory,2
camera,2
wine,2
picture frame,2
traffic sign,1
snowmobile,1
snowman,1
skull,1
vehicle,1
window,1
ring binder,1
refrigerator,1
mug,1
pillow,1
human face,1
coin,1
computer monitor,1
convenience store,1
couch,1
football,1
houseplant,1
infant bed,1
boy,1
ipod,1
boat,1
mammal,1
bus,1
office building,1
office supplies,1
jacket,1
