object,count
bus,30
poster,20
man,10
building,5
car,5
woman,4
clothing,4
person,4
convenience store,4
train,3
door,3
fedora,2
window,2
shelf,2
refrigerator,2
kitchen appliance,2
auto part,2
boy,2
cake,2
furniture,1
home appliance,1
balloon,1
whiteboard,1
billboard,1
traffic sign,1
tin can,1
telephone,1
table,1
swimming pool,1
suit,1
book,1
polar bear,1
plant,1
picture frame,1
computer monitor,1
office building,1
mobile phone,1
dairy,1
mammal,1
fashion accessory,1
jeans,1
baked goods,1
human hair,1
human face,1
human body,1
house,1
human head,1
