object,count
poster,182
car,120
building,71
man,57
book,50
traffic sign,42
vehicle registration plate,35
person,34
bus,32
clothing,28
billboard,23
truck,21
house,20
bottle,19
plant,17
bookcase,16
wine,14
land vehicle,10
woman,10
boy,8
van,8
boat,7
ambulance,7
sports uniform,7
shelf,7
train,7
mammal,5
girl,5
mobile phone,5
suit,4
skyscraper,4
food,4
picture frame,4
scoreboard,3
television,3
tower,3
airplane,3
beer,3
drink,3
computer monitor,3
helicopter,3
auto part,3
handbag,2
castle,2
window,2
wine glass,2
whiteboard,2
tent,2
box,2
human body,2
taxi,2
sword,1
swimming pool,1
wine rack,1
banjo,1
wheel,1
tablet computer,1
toy,1
vehicle,1
vegetable,1
sun hat,1
cake,1
street light,1
human arm,1
christmas tree,1
cabinetry,1
door,1
drum,1
fashion accessory,1
glasses,1
guitar,1
bronze sculpture,1
houseplant,1
human face,1
sports equipment,1
ipod,1
ladder,1
musical instrument,1
office building,1
palm tree,1
personal care,1
cart,1
bicycle,1
sculpture,1
aircraft,1
