object,count
poster,129
book,64
building,60
man,37
mobile phone,32
clothing,31
person,30
flag,19
woman,18
billboard,14
laptop,12
computer keyboard,12
land vehicle,10
car,9
window,9
house,9
plant,8
office supplies,7
picture frame,6
toy,6
computer monitor,6
whiteboard,5
mammal,5
human body,5
girl,5
airplane,5
bookcase,4
desk,4
bottle,4
table,4
door,3
bus,3
filing cabinet,3
office building,3
skyscraper,3
calculator,3
vehicle,2
beer,2
television,2
furniture,2
shelf,2
auto part,2
drink,2
chair,2
dessert,1
stool,1
spoon,1
snack,1
scarf,1
suit,1
tower,1
tablet computer,1
taxi,1
rocket,1
traffic sign,1
truck,1
waste container,1
watch,1
watercraft,1
baked goods,1
wine,1
sandwich,1
personal care,1
ring binder,1
animal,1
drawer,1
envelope,1
fruit,1
cosmetics,1
grapefruit,1
guitar,1
handbag,1
hat,1
convenience store,1
human arm,1
knife,1
remote control,1
camera,1
boy,1
box,1
mug,1
orange,1
palm tree,1
digital clock,1
boat,1
bird,1
bicycle,1
jeans,1
