object,count
poster,81
traffic sign,57
car,33
book,26
man,23
building,19
land vehicle,18
person,15
clothing,13
auto part,12
truck,9
woman,9
mobile phone,8
boy,8
boat,6
motorcycle,6
computer monitor,5
bus,5
plastic bag,5
toy,4
bicycle,4
plant,4
whiteboard,4
palm tree,4
camera,4
house,4
table,3
wheel,3
airplane,3
drum,3
billboard,3
girl,3
jacket,2
bicycle wheel,2
washing machine,2
bookcase,2
box,2
swimwear,2
mammal,2
scoreboard,2
sports uniform,2
personal care,1
television,1
window,1
human face,1
maple,1
mechanical fan,1
vehicle,1
blender,1
home appliance,1
mixer,1
tower,1
tool,1
tire,1
tablet computer,1
flag,1
chair,1
helicopter,1
swim cap,1
street light,1
stationary bicycle,1
musical instrument,1
skyscraper,1
shelf,1
furniture,1
curtain,1
drink,1
microphone,1
