object,count
poster,73
bottle,45
book,26
building,26
man,17
person,16
drink,14
juice,12
plant,12
house,9
clothing,8
car,7
wine,6
woman,6
snack,5
truck,4
beer,4
billboard,4
airplane,3
convenience store,3
window,3
food,3
shelf,3
animal,2
toy,2
table,2
pumpkin,2
mobile phone,2
bookcase,2
land vehicle,2
picture frame,2
jacket,2
human body,2
dress,2
boy,2
houseplant,2
palm tree,1
box,1
auto part,1
desk,1
whiteboard,1
weapon,1
waste container,1
vegetable,1
van,1
dog,1
train,1
tool,1
tomato,1
television,1
office supplies,1
sock,1
envelope,1
skyscraper,1
girl,1
refrigerator,1
glove,1
helicopter,1
bicycle,1
bus,1
chair,1
