object,count
poster,131
clothing,76
building,73
person,68
man,61
book,46
footwear,41
boat,31
woman,25
boy,23
billboard,19
toy,14
car,14
land vehicle,12
bottle,10
bus,9
house,9
girl,9
shelf,8
snack,8
truck,8
human body,8
baked goods,8
table,7
tin can,7
airplane,6
cake,6
plant,6
convenience store,6
television,6
beer,5
drink,5
bookcase,5
mammal,5
van,5
vehicle registration plate,5
train,4
furniture,4
office supplies,4
mug,4
box,4
jacket,4
laptop,3
picture frame,3
boot,3
watercraft,3
window,3
motorcycle,3
aircraft,3
computer monitor,3
filing cabinet,2
door,2
tower,2
sculpture,2
cooking spray,2
drawer,2
human arm,2
vehicle,2
human face,2
coffee cup,2
cattle,2
whiteboard,2
cocktail,2
wine,2
tablet computer,2
animal,1
cupboard,1
traffic sign,1
dinosaur,1
tent,1
cabinetry,1
teddy bear,1
lifejacket,1
balloon,1
food,1
candy,1
frying pan,1
camera,1
hat,1
pen,1
paddle,1
office building,1
muffin,1
human leg,1
jeans,1
luggage and bags,1
chair,1
