object,count
building,230
mobile phone,114
poster,78
house,54
book,27
tablet computer,23
billboard,22
convenience store,21
person,19
man,19
laptop,15
woman,11
clothing,8
plant,8
door,7
car,7
window,7
television,6
computer monitor,6
bicycle,4
box,4
shelf,4
bottle,4
bus,4
girl,3
land vehicle,3
human hand,3
skyscraper,3
table,3
plastic bag,3
tent,3
sports uniform,2
curtain,2
drink,2
truck,2
sculpture,2
tin can,2
mug,2
toy,2
picture frame,2
mammal,2
beer,2
refrigerator,1
porch,1
wine,1
train,1
vehicle,1
ring binder,1
ruler,1
van,1
tower,1
traffic sign,1
taxi,1
airplane,1
parking meter,1
coffee cup,1
auto part,1
balloon,1
banjo,1
boat,1
bookcase,1
boy,1
camera,1
cassette deck,1
cat,1
chair,1
computer keyboard,1
office supplies,1
corded phone,1
cowboy hat,1
dairy,1
dog,1
guitar,1
human arm,1
human body,1
animal,1
ipod,1
motorcycle,1
human leg,1
