object,count
poster,58
bottle,30
man,26
book,23
person,23
beer,21
clothing,14
woman,9
tin can,9
whiteboard,8
drink,7
billboard,7
building,7
personal care,4
table,4
toy,3
flag,3
girl,3
plant,3
box,3
mobile phone,3
wine,3
human body,3
human face,3
shelf,2
rose,2
traffic sign,2
truck,2
mammal,2
luggage and bags,2
balloon,2
food,2
human hair,2
horse,2
house,2
houseplant,2
bus,2
bookcase,2
vehicle,1
van,1
envelope,1
car,1
window,1
computer monitor,1
cosmetics,1
toilet paper,1
tire,1
couch,1
human head,1
suit,1
shirt,1
jeans,1
grape,1
guitar,1
hair spray,1
parking meter,1
human arm,1
human hand,1
laptop,1
land vehicle,1
kitchen appliance,1
jacket,1
