object,count
poster,45
bottle,31
building,30
book,24
tin can,16
man,14
person,11
beer,10
clothing,10
wine,9
snack,8
house,7
woman,7
drink,6
car,6
bookcase,6
boy,5
billboard,5
shelf,4
mammal,4
girl,4
human body,4
computer monitor,4
convenience store,4
whiteboard,4
footwear,3
window,3
fast food,2
television,2
mobile phone,2
land vehicle,2
tablet computer,2
truck,2
waste container,1
table,1
suit,1
spice rack,1
picture frame,1
train,1
box,1
wheel,1
shirt,1
tire,1
chicken,1
personal care,1
helmet,1
countertop,1
dessert,1
doll,1
dress,1
food,1
frog,1
hat,1
horse,1
bus,1
bicycle,1
human hair,1
human head,1
jacket,1
kitchen utensil,1
cocktail,1
pastry,1
cabbage,1
