object,count
bottle,45
drink,28
tin can,25
snack,22
poster,21
convenience store,20
juice,18
book,14
food,8
building,7
person,7
man,6
shelf,4
platter,4
plate,4
clothing,3
plant,3
toy,3
spice rack,2
measuring cup,2
girl,2
woman,2
fast food,2
beer,2
dessert,2
shirt,1
burrito,1
bookcase,1
table,1
tablet computer,1
food processor,1
bus,1
beaker,1
truck,1
vegetable,1
waffle,1
whiteboard,1
wine,1
tower,1
candy,1
popcorn,1
coffee cup,1
dairy,1
dog,1
doll,1
fashion accessory,1
laptop,1
land vehicle,1
kitchen appliance,1
barrel,1
human hand,1
human body,1
house,1
baked goods,1
