object,count
poster,100
building,32
billboard,20
book,18
clothing,16
man,14
person,12
woman,12
bottle,11
drink,7
vegetable,6
whiteboard,6
bus,6
boy,5
house,4
picture frame,4
mobile phone,3
artichoke,3
girl,3
table,3
window,3
shelf,3
zucchini,3
convenience store,3
beer,3
bookcase,3
cucumber,3
broccoli,3
land vehicle,2
radish,2
suit,2
fruit,2
car,2
carrot,2
swimming pool,1
tablet computer,1
tent,1
tomato,1
tower,1
traffic sign,1
toy,1
train,1
truck,1
van,1
boat,1
watch,1
watermelon,1
weapon,1
bell pepper,1
bed,1
sock,1
fashion accessory,1
rose,1
ipod,1
food,1
fork,1
frog,1
egg,1
glasses,1
grape,1
human body,1
infant bed,1
balloon,1
flag,1
lantern,1
laptop,1
cat,1
paddle,1
pear,1
personal care,1
plant,1
porch,1
cabbage,1
