object,count
poster,81
building,37
clothing,36
person,34
book,30
man,26
woman,20
billboard,15
car,10
plant,8
mammal,7
girl,7
snack,7
bottle,7
convenience store,6
land vehicle,6
computer monitor,5
window,5
whiteboard,5
picture frame,5
boy,5
human body,5
vehicle,4
table,4
bookcase,4
office building,4
mobile phone,4
baked goods,4
shelf,4
box,4
traffic sign,3
laptop,3
bus,3
envelope,2
food,2
sculpture,2
scoreboard,2
tableware,2
plastic bag,2
pillow,2
tent,2
tin can,2
drink,2
cake,2
flowerpot,2
shirt,2
bicycle,2
home appliance,2
wine,2
house,2
furniture,2
human head,2
vegetable,1
suit,1
auto part,1
taxi,1
telephone,1
television,1
wheel,1
van,1
tower,1
toy,1
bird,1
train,1
watercraft,1
volleyball,1
bicycle wheel,1
truck,1
guitar,1
reptile,1
skyscraper,1
candle,1
horse,1
houseplant,1
human hair,1
human hand,1
infant bed,1
jacket,1
kitchen appliance,1
lantern,1
airplane,1
limousine,1
dress,1
office supplies,1
peach,1
perfume,1
door,1
dessert,1
chair,1
cart,1
refrigerator,1
helicopter,1
rose,1
adhesive tape,1
