object,count
book,37
man,25
poster,24
building,20
clothing,19
person,16
car,10
woman,8
bottle,7
boy,5
whiteboard,5
mammal,5
airplane,4
house,4
billboard,4
box,3
drink,3
tin can,3
shelf,3
human body,3
mobile phone,3
convenience store,2
bookcase,2
table,2
boat,2
grape,2
girl,2
footwear,2
beer,2
van,2
wheel,2
door,2
snack,2
land vehicle,2
sports uniform,1
skyscraper,1
television,1
tent,1
truck,1
tire,1
tower,1
chair,1
umbrella,1
vehicle,1
auto part,1
wine,1
skateboard,1
plant,1
seafood,1
jacket,1
dairy,1
dessert,1
computer monitor,1
fish,1
flag,1
food,1
christmas tree,1
knife,1
ball,1
bicycle wheel,1
bicycle,1
camera,1
palm tree,1
piano,1
cream,1
plastic bag,1
aircraft,1
