object,count
poster,68
book,28
building,25
clothing,19
person,14
man,14
woman,11
house,11
billboard,8
girl,7
bottle,7
car,6
wine,4
sports uniform,3
beer,3
desk,3
flag,2
shelf,2
human body,2
musical instrument,2
plant,2
truck,2
boat,2
convenience store,2
tin can,1
watch,1
platter,1
porch,1
whiteboard,1
scarf,1
skateboard,1
wall clock,1
plate,1
van,1
skyscraper,1
table,1
train,1
traffic sign,1
animal,1
picture frame,1
doll,1
bookcase,1
boy,1
bus,1
computer keyboard,1
computer monitor,1
countertop,1
cupboard,1
door,1
organ,1
kitchen appliance,1
land vehicle,1
laptop,1
auto part,1
mug,1
office building,1
office supplies,1
mobile phone,1
