object,count
poster,156
book,37
building,34
mobile phone,24
person,22
man,22
computer monitor,20
clothing,18
television,17
woman,14
car,12
billboard,10
bus,8
whiteboard,8
plant,7
house,7
tablet computer,5
girl,5
laptop,4
window,4
picture frame,4
auto part,3
sandwich,3
mammal,2
balloon,2
motorcycle,2
mug,2
land vehicle,2
human body,2
tent,2
human face,2
toy,2
suit,2
truck,2
van,2
shelf,2
shirt,2
wine,2
bookcase,2
bottle,1
baked goods,1
suitcase,1
sunglasses,1
snack,1
tin can,1
train,1
vehicle,1
watch,1
snake,1
beer,1
skyscraper,1
scale,1
coffee cup,1
boat,1
convenience store,1
couch,1
drink,1
envelope,1
fashion accessory,1
footwear,1
furniture,1
human hair,1
human head,1
ipod,1
musical instrument,1
parachute,1
personal care,1
apple,1
