object,count
car,131
poster,46
person,27
man,20
land vehicle,20
truck,15
bottle,13
auto part,11
scoreboard,11
book,10
building,9
clothing,8
computer monitor,7
drink,7
woman,7
snack,6
sports uniform,6
mobile phone,6
dairy,6
shelf,5
plant,5
whiteboard,4
billboard,4
beer,4
food,3
footwear,3
tin can,3
laptop,3
vehicle,3
plastic bag,2
toothbrush,2
wheel,2
tent,2
airplane,2
bus,2
human arm,2
dessert,2
human face,1
bicycle wheel,1
boy,1
billiard table,1
tower,1
train,1
van,1
cake,1
bicycle,1
waste container,1
watermelon,1
balloon,1
baked goods,1
wine,1
television,1
skyscraper,1
calculator,1
juice,1
cheese,1
convenience store,1
popcorn,1
dress,1
girl,1
handgun,1
office supplies,1
motorcycle,1
helmet,1
milk,1
home appliance,1
house,1
kettle,1
human hand,1
