object,count
poster,39
man,23
building,19
person,14
mobile phone,13
book,11
car,10
clothing,9
toy,6
table,6
computer monitor,5
woman,5
picture frame,4
sculpture,4
shelf,3
tablet computer,3
plant,3
human body,3
camera,3
bicycle,3
billboard,3
furniture,2
whiteboard,2
wheel,2
vehicle,2
van,2
traffic sign,2
auto part,2
laptop,2
land vehicle,2
jacket,2
airplane,2
footwear,2
boy,2
flower,2
dessert,2
cosmetics,2
stop sign,1
printer,1
rifle,1
scoreboard,1
beer,1
balloon,1
shotgun,1
snack,1
fruit,1
baked goods,1
tin can,1
apple,1
convenience store,1
box,1
computer keyboard,1
cheese,1
window,1
television,1
bicycle wheel,1
digital clock,1
billiard table,1
girl,1
home appliance,1
house,1
human arm,1
animal,1
human face,1
ipod,1
drink,1
doll,1
light switch,1
lobster,1
mammal,1
carnivore,1
medical equipment,1
boat,1
office building,1
office supplies,1
bottle,1
