object,count
poster,105
building,95
book,54
man,38
bus,31
clothing,31
person,23
car,21
house,19
billboard,17
woman,17
traffic sign,13
canoe,9
bottle,8
boy,7
plant,7
land vehicle,7
girl,6
shelf,6
bookcase,6
mobile phone,5
laptop,5
mammal,4
human body,4
snack,4
perfume,4
convenience store,4
table,3
taxi,3
palm tree,3
toy,3
boat,3
street light,3
train,3
suit,3
truck,3
window,3
van,3
sports equipment,2
drink,2
sculpture,2
furniture,2
dress,2
picture frame,2
human face,2
cart,2
whiteboard,2
houseplant,2
computer monitor,2
tower,1
tent,1
television,1
vehicle registration plate,1
vehicle,1
tablet computer,1
wine,1
trousers,1
door,1
calculator,1
sports uniform,1
human hair,1
envelope,1
dog,1
golf cart,1
guitar,1
helicopter,1
helmet,1
human arm,1
beer,1
snake,1
chair,1
cassette deck,1
paddle,1
camera,1
porch,1
scoreboard,1
box,1
auto part,1
