object,count
poster,31
book,19
man,14
building,14
plant,13
house,9
person,8
billboard,7
bottle,7
clothing,5
christmas tree,5
beer,4
tablet computer,4
snack,3
tin can,3
houseplant,3
table,2
shelf,2
traffic sign,2
mobile phone,2
train,2
truck,2
human body,2
woman,2
desk,2
bookcase,2
drink,2
computer monitor,2
shirt,1
whiteboard,1
waste container,1
washing machine,1
van,1
bird,1
boy,1
tool,1
bus,1
car,1
convenience store,1
home appliance,1
hat,1
sculpture,1
reptile,1
elephant,1
picture frame,1
flag,1
perfume,1
parking meter,1
flower,1
frog,1
laptop,1
girl,1
jacket,1
land vehicle,1
