object,count
poster,53
book,43
building,35
man,28
traffic sign,24
clothing,24
woman,10
person,10
car,10
billboard,9
mobile phone,8
bus,8
human body,8
skyscraper,7
land vehicle,5
picture frame,4
whiteboard,4
laptop,4
snack,4
bicycle,3
bottle,3
truck,3
house,3
street light,3
plant,3
wheel,3
mammal,3
airplane,2
tablet computer,2
table,2
girl,2
ipod,2
bookcase,2
tire,2
convenience store,2
van,2
shelf,2
bicycle wheel,2
camera,2
binoculars,2
box,2
auto part,2
baked goods,1
tap,1
suit,1
television,1
washing machine,1
watch,1
watercraft,1
pillow,1
measuring cup,1
ball,1
parking meter,1
boy,1
boat,1
cabinetry,1
cake,1
chair,1
computer monitor,1
corded phone,1
couch,1
dairy,1
doll,1
drink,1
furniture,1
hot dog,1
jug,1
beer,1
balloon,1
motorcycle,1
mug,1
office building,1
aircraft,1
