object,count
man,70
poster,66
clothing,63
building,50
woman,39
train,39
person,26
house,17
billboard,11
car,10
book,10
girl,8
land vehicle,6
flag,6
window,5
suit,5
plant,4
tower,4
beer,4
tent,3
taxi,3
whiteboard,3
street light,3
skyscraper,3
office building,3
door,3
human body,3
bottle,3
boy,3
bus,3
coin,2
bicycle,2
wall clock,2
van,2
tin can,2
computer monitor,2
auto part,2
mammal,2
convenience store,1
scoreboard,1
wine,1
human face,1
boat,1
violin,1
vehicle,1
mobile phone,1
umbrella,1
truck,1
mug,1
toy,1
hat,1
office supplies,1
fashion accessory,1
television,1
cart,1
suitcase,1
coffee cup,1
jacket,1
sports uniform,1
spatula,1
picture frame,1
shirt,1
shelf,1
sculpture,1
human head,1
