object,count
poster,41
building,24
man,21
snack,18
book,16
convenience store,15
person,12
whiteboard,10
medical equipment,10
woman,9
clothing,8
billboard,7
house,4
suit,4
computer monitor,3
human body,3
bottle,3
office building,3
mobile phone,3
bus,3
car,3
home appliance,3
cheese,2
land vehicle,2
toy,2
dress,2
toothbrush,2
table,2
box,2
tin can,2
plant,2
girl,2
truck,1
vegetable,1
vehicle,1
television,1
wine glass,1
auto part,1
shelf,1
picture frame,1
milk,1
baked goods,1
laptop,1
furniture,1
drink,1
beer,1
balloon,1
mammal,1
