object,count
poster,56
computer monitor,30
building,25
book,25
mobile phone,14
car,12
laptop,11
man,8
woman,7
billboard,6
house,6
bottle,5
wine,4
television,4
picture frame,4
girl,4
truck,3
tablet computer,3
remote control,3
train,3
plant,3
clothing,3
furniture,2
whiteboard,2
camera,2
calculator,2
bus,2
box,2
shelf,2
bookcase,2
boat,2
table,1
skyscraper,1
sculpture,1
van,1
animal,1
person,1
pen,1
office building,1
mug,1
medical equipment,1
auto part,1
juice,1
jeans,1
guitar,1
desk,1
coffee cup,1
cannon,1
land vehicle,1
