object,count
poster,75
book,55
bottle,17
wine,9
bookcase,7
beer,6
woman,5
hair spray,5
shelf,5
measuring cup,5
remote control,4
person,4
mobile phone,4
beaker,4
cassette deck,4
building,3
guitar,3
drink,3
musical keyboard,2
computer monitor,2
truck,2
telephone,2
tablet computer,2
scoreboard,2
car,2
plant,2
clothing,2
musical instrument,2
land vehicle,2
microphone,1
flashlight,1
bronze sculpture,1
vehicle,1
envelope,1
toy,1
television,1
flag,1
food,1
convenience store,1
cosmetics,1
home appliance,1
corded phone,1
mammal,1
picture frame,1
man,1
door,1
