object,count
poster,135
bottle,86
drink,68
book,67
man,49
clothing,38
watch,32
person,32
building,32
woman,26
land vehicle,24
boat,23
plant,22
convenience store,21
billboard,19
car,16
beer,13
tin can,13
truck,10
mammal,10
digital clock,8
bus,8
vehicle,8
traffic sign,7
girl,7
house,7
whiteboard,7
snack,6
toy,6
juice,6
van,6
home appliance,6
wine,5
food,5
auto part,5
skyscraper,5
window,4
shelf,4
suit,4
table,4
dairy,4
boy,4
box,3
frog,3
furniture,3
office supplies,3
houseplant,3
pillow,3
tower,3
mug,2
palm tree,2
umbrella,2
pen,2
plastic bag,2
swimming pool,2
tent,2
tableware,2
laptop,2
jug,2
human body,2
alarm clock,2
fashion accessory,2
bookcase,2
horse,2
human hand,2
human face,2
train,1
coffee cup,1
coffee table,1
measuring cup,1
coffeemaker,1
computer monitor,1
cream,1
television,1
tripod,1
camera,1
chair,1
cat,1
tap,1
bread,1
vehicle registration plate,1
watercraft,1
weapon,1
beaker,1
backpack,1
taxi,1
dessert,1
curtain,1
plate,1
luggage and bags,1
necklace,1
office building,1
airplane,1
kitchen utensil,1
pastry,1
pitcher,1
human arm,1
platter,1
desk,1
porch,1
rifle,1
scale,1
fountain,1
flowerpot,1
slow cooker,1
dog,1
motorcycle,1
aircraft,1
