object,count
poster,227
building,225
book,182
man,90
person,76
clothing,71
traffic sign,65
woman,62
house,53
billboard,43
car,27
truck,25
plant,23
skyscraper,22
girl,21
bus,21
whiteboard,18
van,15
mammal,14
land vehicle,14
street light,14
mobile phone,13
human body,13
bookcase,13
window,12
table,12
bottle,12
boy,11
shelf,11
drink,9
tower,8
convenience store,8
wine,7
beer,7
computer monitor,7
tent,6
picture frame,6
furniture,6
vehicle,5
laptop,5
train,4
boat,4
box,4
office supplies,4
sports uniform,4
motorcycle,4
stairs,4
tin can,4
snack,4
food,4
flower,4
fashion accessory,4
suit,3
footwear,3
jacket,3
airplane,3
toy,3
umbrella,3
candy,3
tablet computer,3
dress,3
door,3
flag,3
auto part,3
television,3
coin,2
bird,2
palm tree,2
office building,2
spice rack,2
sandwich,2
scissors,2
sculpture,2
animal,2
shirt,2
maple,2
piano,2
cake,2
home appliance,2
carnivore,2
tank,2
high heels,2
waste container,2
houseplant,2
human arm,2
helicopter,2
handbag,2
camera,2
christmas tree,2
tableware,1
vehicle registration plate,1
snake,1
snowman,1
tire,1
taxi,1
stethoscope,1
spoon,1
watch,1
sports equipment,1
suitcase,1
wheel,1
tool,1
stop sign,1
watercraft,1
tomato,1
accordion,1
shorts,1
frog,1
fire hydrant,1
dessert,1
dairy,1
computer mouse,1
computer keyboard,1
coffeemaker,1
clock,1
chopsticks,1
chair,1
cat,1
cart,1
butterfly,1
briefcase,1
bread,1
bicycle,1
beaker,1
balloon,1
football helmet,1
glove,1
segway,1
guitar,1
salad,1
refrigerator,1
pillow,1
musical keyboard,1
musical instrument,1
medical equipment,1
ladle,1
kettle,1
invertebrate,1
human nose,1
human leg,1
human head,1
human face,1
hat,1
harpsichord,1
handgun,1
hair dryer,1
ipod,1
