object,count
book,75
man,61
poster,55
clothing,39
mobile phone,31
person,30
building,26
computer monitor,21
woman,20
tablet computer,16
whiteboard,13
table,11
office building,11
bookcase,11
laptop,8
shelf,8
desk,5
human body,4
car,4
girl,4
office supplies,3
van,3
television,3
boy,3
mammal,3
fashion accessory,2
land vehicle,2
billboard,2
truck,2
computer keyboard,2
camera,2
plant,2
auto part,2
shirt,2
toy,2
furniture,2
window,1
suit,1
scoreboard,1
airplane,1
picnic basket,1
mug,1
lamp,1
kitchen utensil,1
human hair,1
footwear,1
flag,1
drink,1
digital clock,1
curtain,1
coffee cup,1
chair,1
cake,1
bus,1
jacket,1
