object,count
poster,79
building,27
person,21
man,18
clothing,18
woman,12
book,12
mobile phone,11
whiteboard,9
billboard,9
house,6
plant,4
land vehicle,4
parking meter,4
suit,3
boy,3
truck,3
bus,3
door,2
bird,2
tent,2
computer monitor,2
laptop,2
girl,2
jacket,2
bicycle,2
office building,2
scoreboard,1
window,1
van,1
sculpture,1
spice rack,1
traffic sign,1
table,1
auto part,1
mammal,1
human head,1
human hair,1
human body,1
frying pan,1
fountain,1
flag,1
fashion accessory,1
drink,1
convenience store,1
computer keyboard,1
clock,1
box,1
bottle,1
bookcase,1
human face,1
