object,count
poster,46
tin can,11
book,11
person,7
man,5
box,5
bottle,5
food,4
clothing,4
snack,4
woman,4
toy,3
scale,3
mobile phone,3
whiteboard,3
animal,2
scoreboard,2
traffic sign,2
plant,2
truck,2
vehicle,2
sock,2
land vehicle,2
convenience store,2
computer monitor,2
car,2
bus,2
building,2
billboard,2
jeans,1
tower,1
window,1
baked goods,1
watermelon,1
ball,1
beer,1
train,1
belt,1
bicycle,1
boy,1
television,1
house,1
skyscraper,1
cake,1
cannon,1
plastic bag,1
medical equipment,1
fruit,1
aircraft,1
