object,count
poster,149
book,122
building,39
man,38
person,32
clothing,26
woman,21
bottle,17
house,11
drink,11
plant,10
car,9
convenience store,7
human body,7
mobile phone,6
picture frame,6
land vehicle,6
billboard,6
shelf,5
whiteboard,5
bus,5
truck,5
tablet computer,5
window,4
beer,4
door,3
girl,3
mammal,3
flag,3
tent,3
box,3
vehicle,3
computer monitor,3
wine,3
balloon,3
bookcase,3
laptop,3
suit,2
helmet,2
sports uniform,2
human face,2
plastic bag,2
baked goods,2
human hair,2
refrigerator,2
table,2
ring binder,2
tin can,2
toy,2
flower,2
bicycle,2
dessert,2
vehicle registration plate,1
wine glass,1
weapon,1
washing machine,1
snack,1
sandwich,1
seafood,1
television,1
vegetable,1
boy,1
barrel,1
barge,1
fashion accessory,1
cake,1
camera,1
carnivore,1
cat,1
cheese,1
cocktail,1
coin,1
cookie,1
doll,1
food,1
office supplies,1
handbag,1
horse,1
houseplant,1
human arm,1
auto part,1
jacket,1
measuring cup,1
motorcycle,1
musical instrument,1
antelope,1
